TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
163350|Carassius auratus|(Linnaeus, 1758)|Species        |Reviewed|valid||
163350|Carassius auratus|(Linnaeus, 1758)|Species        |Reviewed|valid||
179124|Cardinalis cardinalis|(Linnaeus, 1758)|Species        |Reviewed|valid||
179779|Catharus guttatus|(Pallas, 1811)|Species        |Reviewed|valid||
163905|Catostomus insignis|Baird and Girard, 1854|Species        |Reviewed|valid||
163908|Catostomus occidentalis|Ayres, 1854|Species        |Reviewed|valid||
1171661|Catostomus occidentalis|Agassiz, 1855|Species        |Reviewed|invalid|163908|Catostomus occidentalis
70329|Cipangopaludina chinensis|(Gray, 1834)|Species        |Reviewed|valid||
70329|Cipangopaludina chinensis|(Gray, 1834)|Species        |Reviewed|valid||
174038|Coleonyx brevis|Stejneger, 1893|Species        |Reviewed|valid||
208779|Holbrookia texana|(Troschel, 1852)|Species        |Reviewed|invalid|173910|Cophosaurus texanus
|Coptodon zillii|||||
|Coptodon zillii|||||
|Coptodon zillii|||||
585832|Crotalus triseriatus|(Wagler, 1830)|Species        |Reviewed|valid||
163792|Cyprinella lutrensis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
163792|Cyprinella lutrensis|(Baird and Girard, 1853)|Species        |Reviewed|valid||
173633|Desmognathus fuscus|(Rafinesque, 1820)|Species        |Reviewed|valid||
173633|Desmognathus fuscus|(Rafinesque, 1820)|Species        |Reviewed|valid||
173633|Desmognathus fuscus|(Rafinesque, 1820)|Species        |Reviewed|valid||
173633|Desmognathus fuscus|(Rafinesque, 1820)|Species        |Reviewed|valid||
173633|Desmognathus fuscus|(Rafinesque, 1820)|Species        |Reviewed|valid||
173742|Dicamptodon copei|Nussbaum, 1970|Species        |Reviewed|valid||
173743|Dicamptodon ensatus|(Eschscholtz, 1833)|Species        |Reviewed|valid||
173743|Dicamptodon ensatus|(Eschscholtz, 1833)|Species        |Reviewed|valid||
173743|Dicamptodon ensatus|(Eschscholtz, 1833)|Species        |Reviewed|valid||
171918|Dormitator latifrons|(Richardson, 1844)|Species        |Reviewed|valid||
173510|Hyla arenicolor|Cope, 1866|Species        |Reviewed|invalid|1095296|Dryophytes arenicolor
173510|Hyla arenicolor|Cope, 1866|Species        |Reviewed|invalid|1095296|Dryophytes arenicolor
173510|Hyla arenicolor|Cope, 1866|Species        |Reviewed|invalid|1095296|Dryophytes arenicolor
173510|Hyla arenicolor|Cope, 1866|Species        |Reviewed|invalid|1095296|Dryophytes arenicolor
173511|Hyla avivoca|Viosca, 1928|Species        |Reviewed|invalid|1098486|Dryophytes avivoca
173511|Hyla avivoca|Viosca, 1928|Species        |Reviewed|invalid|1098486|Dryophytes avivoca
1098527|Dryophytes chrysoscelis|(Cope, 1880)|Species        |Reviewed|valid||
173502|Hyla chrysoscelis|Cope, 1880|Species        |Reviewed|invalid|1098527|Dryophytes chrysoscelis
173502|Hyla chrysoscelis|Cope, 1880|Species        |Reviewed|invalid|1098527|Dryophytes chrysoscelis
173502|Hyla chrysoscelis|Cope, 1880|Species        |Reviewed|invalid|1098527|Dryophytes chrysoscelis
173505|Hyla cinerea|(Schneider, 1799)|Species        |Reviewed|invalid|1095381|Dryophytes cinereus
173505|Hyla cinerea|(Schneider, 1799)|Species        |Reviewed|invalid|1095381|Dryophytes cinereus
173505|Hyla cinerea|(Schneider, 1799)|Species        |Reviewed|invalid|1095381|Dryophytes cinereus
173505|Hyla cinerea|(Schneider, 1799)|Species        |Reviewed|invalid|1095381|Dryophytes cinereus
1098557|Dryophytes eximius|(Baird, 1854)|Species        |Reviewed|valid||
173513|Hyla eximia|Baird, 1854|Species        |Reviewed|invalid|1098557|Dryophytes eximius
173499|Hyla femoralis|Daudin, 1800|Species        |Reviewed|invalid|1095454|Dryophytes femoralis
173499|Hyla femoralis|Daudin, 1800|Species        |Reviewed|invalid|1095454|Dryophytes femoralis
173504|Hyla squirella|Daudin, 1800|Species        |Reviewed|invalid|1098561|Dryophytes squirellus
173504|Hyla squirella|Daudin, 1800|Species        |Reviewed|invalid|1098561|Dryophytes squirellus
173503|Hyla versicolor|LeConte, 1825|Species        |Reviewed|invalid|1095495|Dryophytes versicolor
173503|Hyla versicolor|LeConte, 1825|Species        |Reviewed|invalid|1095495|Dryophytes versicolor
173503|Hyla versicolor|LeConte, 1825|Species        |Reviewed|invalid|1095495|Dryophytes versicolor
173503|Hyla versicolor|LeConte, 1825|Species        |Reviewed|invalid|1095495|Dryophytes versicolor
979797|Eisenia foetida|(Savigny, 1826)|Species        |Reviewed|invalid|976620|Eisenia fetida
|Eleutherodactylus marnocki|||||
712529|Empidonax traillii extimus|A. R. Phillips, 1948|Subspecies     |Reviewed|valid||
159699|Entosphenus tridentatus|(Richardson, 1836)|Species        |Reviewed|valid||
69445|Erpobdella punctata|(Leidy, 1870)|Species        |Reviewed|valid||
69445|Erpobdella punctata|(Leidy, 1870)|Species        |Reviewed|valid||
69445|Erpobdella punctata|(Leidy, 1870)|Species        |Reviewed|valid||
69445|Erpobdella punctata|(Leidy, 1870)|Species        |Reviewed|valid||
69445|Erpobdella punctata|(Leidy, 1870)|Species        |Reviewed|valid||
173685|Eurycea bislineata|(Green, 1818)|Species        |Reviewed|valid||
173685|Eurycea bislineata|(Green, 1818)|Species        |Reviewed|valid||
173685|Eurycea bislineata|(Green, 1818)|Species        |Reviewed|valid||
173685|Eurycea bislineata|(Green, 1818)|Species        |Reviewed|valid||
