Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Reptile,Snake,Chordata,Reptilia,Squamata,Colubridae,Geophis,,,ITIS:585662,1,Thamnophis conanti,,Thamnophis conanti,ITIS:1084830,,,,Mexico,,,Canseco Unpublished Data,"Canseco, L. Unpublished data",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,2,Thamnophis conanti,,Thamnophis conanti,ITIS:1084830,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Reptile,Lizard,Chordata,Reptilia,Squamata,,,,,ITIS:173861,2,Thamnophis conanti,,Thamnophis conanti,ITIS:1084830,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Salamander Larvae,Chordata,Amphibia,Urodela,Salamandridae,Taricha,Taricha torosa,Taricha torosa,ITIS:173622,1,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,Adult,230,,"Calaveras County, California",38.46083,-120.44417,Wiseman and Pool 2007,"Wiseman, K. and Pool, A. THAMNOPHIS COUCHII (Sierra Gartersnake). PREDATOR-PREY INTERACTION. 2007. Herpetological Review 38(3): 344-344",
Fish,Fish,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catostomus occidentalis,Catostomus occidentalis,ITIS:163908,1,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,,,,"Mirror Lake, Mariposa County, California",37.74858,-119.54877,Cunningham 1959,"Cunningham, J. D. (1959). Reproduction and Food of Some California Snakes. Herpetologica, 15(1), 17–19. http://www.jstor.org/stable/3889591",
Amphibian ,Salamander Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Dicamptodon,Dicamptodon ensatus,Dicamptodon ensatus,ITIS:173743,1,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,juvenile,196,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Amphibian ,Salamander Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Dicamptodon,Dicamptodon ensatus,Dicamptodon ensatus,ITIS:173743,3,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,juvenile,341,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Amphibian ,Salamander Larvae,Chordata,Amphibia,Urodela,Ambystomatidae,Dicamptodon,Dicamptodon ensatus,Dicamptodon ensatus,ITIS:173743,7,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,Adult,537,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Fish,Fish,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss,ITIS:161989,3,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,juvenile,196,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
Fish,Fish,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss,ITIS:161989,3,Thamnophis couchii,,Thamnophis couchii,ITIS:1084830,Adult ,537,,"Hurdygurdy Creek, Del Norte County, California",,,Lind 1990,"Lind, Amy J. Ontogenetic changes in the foraging behavior, habitat use and food habits of the western aquatic garter snake, Thamnophis couchii, at Hurdygurdy Creek, Del Norte County, California. MS thesis. Humboldt State University, 1990.",
