Prey Highest,Prey Higher,Prey Phylum,Prey Class,Prey Order,Prey Family,Prey Genus,Prey Species,Prey Species Current,Prey Species ID #,Prey Count,Snake Species,Snake Subspecies,FullSpName,Snake Species ID #,Snake Age Class,Snake SVL(mm),Snake Sex,Location,Latitude,Longitude,Citation,Full Citation,Reference DOI
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,Lithobates catesbeianus,ITIS:775084,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,Adult,485,,"Rancho Jamul Ecological Reserve, San Diego County, California",32.68639,-116.85389,Ervin et al 2003,"Ervin, E., Mullin, S., Warburton, M., Fisher, R. THAMNOPHIS HAMMONDII (Two-striped Garter Snake). PREY. 2003. Herpetological Review 34(1): 74-75",
Invertebrate,Leech,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,,,ITIS:69444,4,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,"Lake-of-the-Woods, Cleveland National Forest, San Diego County, California",32.875,-116.46611,Ervin et al 2003,"Ervin, E., Mullin, S., Warburton, M., Fisher, R. THAMNOPHIS HAMMONDII (Two-striped Garter Snake). PREY. 2003. Herpetological Review 34(1): 74-75",
Invertebrate,Leech,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,,,ITIS:69444,20,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,"Lake-of-the-Woods, Cleveland National Forest, San Diego County, California",32.875,-116.46611,Ervin et al 2003,"Ervin, E., Mullin, S., Warburton, M., Fisher, R. THAMNOPHIS HAMMONDII (Two-striped Garter Snake). PREY. 2003. Herpetological Review 34(1): 74-75",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus punctatus,Anaxyrus punctatus,ITIS:773527,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,Adult,522,Female,"Arroyo Las Animas, San Pedro de la Presa Oasis, La Paz, Baja California Sur",24.85022,-110.99178,Rodrigues-Robles and Galina-Tessaro 2006,"Rodrigues-Robles, J. and Galina-Tessaro, P. THAMNOPHIS HAMMONDII (Two-striped Gartersnake). DIET. 2006. Herpetological Review 37(3): 355-355",
Fish,Fish,Chordata,Actinopterygii,Cichliformes,Cichlidae,Coptodon,Coptodon zillii,Coptodon zillii,COL:Y7M9,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,341,Female,"Arroyo Las Animas, San Pedro de la Presa Oasis, La Paz, Baja California Sur",24.85022,-110.99178,Rodrigues-Robles and Galina-Tessaro 2006,"Rodrigues-Robles, J. and Galina-Tessaro, P. THAMNOPHIS HAMMONDII (Two-striped Gartersnake). DIET. 2006. Herpetological Review 37(3): 355-355",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas halophilus,Anaxyrus boreas halophilus,ITIS:776687,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California,37.24201,-119.60594,Klauber 1931,"Klauber, L. M. (1931). A statistical survey of the snakes of the southern border of California. 1931. Bulletin of the Zoological Society of San Diego 8: 1-93",https://doi.org/10.5962/bhl.title.130502
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,Pseudacris regilla,ITIS:207313,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,Juvenile,,,California,37.24201,-119.60594,Klauber 1931,"Klauber, L. M. (1931). A statistical survey of the snakes of the southern border of California. 1931. Bulletin of the Zoological Society of San Diego 8: 1-93",https://doi.org/10.5962/bhl.title.130502
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,Pseudacris regilla,ITIS:207313,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California,37.24201,-119.60594,Klauber 1931,"Klauber, L. M. (1931). A statistical survey of the snakes of the southern border of California. 1931. Bulletin of the Zoological Society of San Diego 8: 1-93",https://doi.org/10.5962/bhl.title.130502
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,Pseudacris regilla,ITIS:207313,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California,37.24201,-119.60594,Klauber 1931,"Klauber, L. M. (1931). A statistical survey of the snakes of the southern border of California. 1931. Bulletin of the Zoological Society of San Diego 8: 1-93",https://doi.org/10.5962/bhl.title.130502
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California,37.24201,-119.60594,Klauber 1931,"Klauber, L. M. (1931). A statistical survey of the snakes of the southern border of California. 1931. Bulletin of the Zoological Society of San Diego 8: 1-93",https://doi.org/10.5962/bhl.title.130502
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas halophilus,Anaxyrus boreas halophilus,ITIS:776687,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California ,37.24201,-119.60594,Cunningham 1959,"Cunningham, J. D. (1959). Reproduction and Food of Some California Snakes. Herpetologica, 15(1), 17–19. http://www.jstor.org/stable/3889591",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus californicus,Anaxyrus californicus,ITIS:773514,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California ,37.24201,-119.60594,Cunningham 1959,"Cunningham, J. D. (1959). Reproduction and Food of Some California Snakes. Herpetologica, 15(1), 17–19. http://www.jstor.org/stable/3889591",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla arenicolor,Dryophytes arenicolor,ITIS:1095296,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California ,37.24201,-119.60594,Cunningham 1959,"Cunningham, J. D. (1959). Reproduction and Food of Some California Snakes. Herpetologica, 15(1), 17–19. http://www.jstor.org/stable/3889591",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,Pseudacris regilla,ITIS:207313,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California ,37.24201,-119.60594,Cunningham 1959,"Cunningham, J. D. (1959). Reproduction and Food of Some California Snakes. Herpetologica, 15(1), 17–19. http://www.jstor.org/stable/3889591",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana aurora,Rana aurora,ITIS:173446,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,,,,California ,37.24201,-119.60594,Cunningham 1959,"Cunningham, J. D. (1959). Reproduction and Food of Some California Snakes. Herpetologica, 15(1), 17–19. http://www.jstor.org/stable/3889591",
Fish,Fish,Chordata,Actinopterygii,Cichliformes,Cichlidae,Coptodon,Coptodon zillii,Coptodon zillii,COL:Y7M9,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,Adult,445,,"Caja California Sur, Mexico",26.00182,111.51563,Luja et al 2013,"Luja, V. H., Rodríguez-Estrella, R., & Sinervo, B. (2013). Observaciones sobre la dieta de la culebra de agua Thamnophis hammondii en un oasis de Baja California Sur, México. Revista Mexicana de Biodiversidad, 84(2), Article 2. https://doi.org/10.7550/rmb.32185",https://doi.org/10.7550/rmb.32185
Fish,Fish,Chordata,Actinopterygii,Cichliformes,Cichlidae,Coptodon,Coptodon zillii,Coptodon zillii,COL:Y7M9,3,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,Adult,390,,"Caja California Sur, Mexico",26.00182,111.51563,Luja et al 2013,"Luja, V. H., Rodríguez-Estrella, R., & Sinervo, B. (2013). Observaciones sobre la dieta de la culebra de agua Thamnophis hammondii en un oasis de Baja California Sur, México. Revista Mexicana de Biodiversidad, 84(2), Article 2. https://doi.org/10.7550/rmb.32185",https://doi.org/10.7550/rmb.32185
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris hypochondriacacurta,Pseudacris hypochondriaca,ITIS:774546,1,Thamnophis hammondii,,Thamnophis hammondii,ITIS:209149,Juvenile,232,,"Caja California Sur, Mexico",26.00182,111.51563,Luja et al 2013,"Luja, V. H., Rodríguez-Estrella, R., & Sinervo, B. (2013). Observaciones sobre la dieta de la culebra de agua Thamnophis hammondii en un oasis de Baja California Sur, México. Revista Mexicana de Biodiversidad, 84(2), Article 2. https://doi.org/10.7550/rmb.32185",https://doi.org/10.7550/rmb.32185
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,2,Thamnophis lineri,,Thamnophis lineri,ITIS:1084829,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,,,,ITIS:173631,4,Thamnophis lineri,,Thamnophis lineri,ITIS:1084829,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Reptile,Lizard,Chordata,Reptilia,Squamata,,,,,ITIS:173861,2,Thamnophis lineri,,Thamnophis lineri,ITIS:1084829,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Amphibian Eggs,Chordata,Amphibia,,,,,,ITIS:173420,1,Thamnophis lineri,,Thamnophis lineri,ITIS:1084829,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Reptile,Lizard,Chordata,Reptilia,Squamata,Telidae,Aspidoscelis,Aspidoscelis inornata,Aspidoscelis inornata,ITIS:1172773,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,Adult,,,"Highway 380, ca. 11 miles E of Roswell, Chaves County, New Mexico",33.39738,-104.4216,Hampton and Fontenot 2007,"Hampton, P. and Fontenot, B. THAMNOPHIS MARCIANUS MARCIANUS (Checkered Garter Snake). DIET. 2007. Herpetological Review 38(1): 94-95",
Reptile,Gecko,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,Coleonyx brevis,Coleonyx brevis,ITIS:174038,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,Adult,,,"Mota de Corona, , Coahuila",27.41528,-101.1709,Streicher et al 2010,"Streicher, J., Franklin, C., Makowsky, R., and Cabrera-Guzman, E. THAMNOPHIS MARCIANUS (Checkered Gartersnake). DIET. 2010. Herpetological Review 41(2): 238-238",
Fish,Fish,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus zebrinus,Fundulus zebrinus,ITIS:165658,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,", Manuel Benavides, Chihuahua",28.97561,-103.79011,Gatica-Colima and Hernandez-Alvarez 2019,"Gatica-Colima, A. and Hernandez-Alvarez, J. THAMNOPHIS MARCIANUS (Checkered Gartersnake). DIET. 2019. Herpetological Review 50(3): 602-603",
Fish,Fish,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus zebrinus,Fundulus zebrinus,ITIS:165658,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,300,,San Antonio Creek. Chihuahua Mexico,28.97561,103.79011,Gatica-Colima and Hernandez-Alvarez 2019,"Gatica-Colima, A. and Hernandez-Alvarez, J. THAMNOPHIS MARCIANUS (Checkered Gartersnake). DIET. 2019. Herpetological Review 50(3): 602-603",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris clarkii,Pseudacris clarkii,ITIS:173529,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,"Schleicher County, Texas",31.50212,-99.35504,Marr 1944,"Marr, J. C. (1944). Notes on Amphibians and Reptiles from the Central United States. The American Midland Naturalist, 32(2), 478–490. https://doi.org/10.2307/2421310",https://doi.org/10.2307/2421310
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,Notophthalmus meridionalis kallerti,Notophthalmus meridionalis,ITIS:173617,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,"6.5 miles east of Sabanito, San Luis Potosi",22.60028,-100.43277,Taylor 1949,"Taylor, E.H. (1949). A preliminary account of the herpetology of the state of San Luis Potosí, México. University of Kansas science bulletin, 33, 169-215.",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus debilis,Anaxyrus debilis,ITIS:773518,4,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii,Anaxyrus woodhousii,ITIS:773532,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Reptile,Lizard,Chordata,Reptilia,Squamata,Phrynosomatidae,Holbrookia,Holbrookia texana,Cophosaurus texanus,ITIS:173910,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne olivacea,Gastrophryne olivacea,ITIS:173468,3,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Reptile,Lizard,Chordata,Reptilia,Squamata,Phrynosomatidae,Holbrookia,Holbrookia maculata,Holbrookia maculata,ITIS:173927,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Tadpoles,Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Lithobates pipiens,ITIS:775108,40,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,Scaphiopus couchii,Scaphiopus couchii,ITIS:173429,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea bombifrons,Spea bombifrons,ITIS:206989,1,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,4,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Texas Natural History Museum ,,,Fouquette 1954,"M. J. Fouquette Jr 1954. Food competition among four sympatric species of garter snakes, genus Thamnophis. Texas J. Sci 6:172–188",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,Lithobates catesbeianus,ITIS:775084,22,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Arizona,,,Seigel et al. 2000,"RICHARD A. SEIGEL, NEIL B. FORD, LAURA A. MAHRT ""Ecology of an Aquatic Snake (Thamnophis marcianus) in a Desert Environment: Implications of Early Timing of Birth and Geographic Variation in Reproduction,"" The American Midland Naturalist, 143(2), 453-462, (1 April 2000)",https://doi.org/10.1674/0003-0031(2000)143[0453:EOAAST]2.0.CO;2
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,ITIS:974504,7,Thamnophis marcianus,,Thamnophis marcianus,ITIS:174144,,,,Arizona,,,Seigel et al. 2001,"RICHARD A. SEIGEL, NEIL B. FORD, LAURA A. MAHRT ""Ecology of an Aquatic Snake (Thamnophis marcianus) in a Desert Environment: Implications of Early Timing of Birth and Geographic Variation in Reproduction,"" The American Midland Naturalist, 143(2), 453-462, (1 April 2000)",https://doi.org/10.1674/0003-0031(2000)143[0453:EOAAST]2.0.CO;3
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,,,,,ITIS:173423,247,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,"Chihuahua, Mexico",23.09,103.01,Drummond and Garcia 1989,"Drummond, H., & Macias Garcia, C. (1989). Limitations of a Generalist: a Field Comparison of Foraging Snakes, Behaviour, 108(1-2), 23-42. doi: https://doi.org/10.1163/156853989X00033",https://doi.org/10.1163/156853989X00033
Invertebrate,Crayfish,Arthropoda,Malacostraca,Decapoda,Cambaridae,Cambrellus,Cambarellus  montezumae,Cambarellus  montezumae,ITIS:650318,76,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,Rio Lerma and Rio Tula drainages,23.93969,-102.53973,Manjarrez 2013,"Manjarrez, J., García, C. M., & Drummond, H. (2013). Variation in the Diet of the Mexican Black-bellied Gartersnake Thamnophis melanogaster. Importance of Prey Availability and Snake Body Size. Journal of Herpetology, 47(3), 413–420. http://www.jstor.org/stable/43287365",https://doi.org/10.1670/12-174
Invertebrate,Leech,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,,,,ITIS:69407,76,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,Rio Lerma and Rio Tula drainages,23.93969,-102.53973,Manjarrez 2013,"Manjarrez, J., García, C. M., & Drummond, H. (2013). Variation in the Diet of the Mexican Black-bellied Gartersnake Thamnophis melanogaster. Importance of Prey Availability and Snake Body Size. Journal of Herpetology, 47(3), 413–420. http://www.jstor.org/stable/43287365",https://doi.org/10.1670/12-174
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,,,,,ITIS:173423,1,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,Rio Lerma and Rio Tula drainages,23.93969,-102.53973,Manjarrez 2013,"Manjarrez, J., García, C. M., & Drummond, H. (2013). Variation in the Diet of the Mexican Black-bellied Gartersnake Thamnophis melanogaster. Importance of Prey Availability and Snake Body Size. Journal of Herpetology, 47(3), 413–420. http://www.jstor.org/stable/43287365",https://doi.org/10.1670/12-174
Amphibian ,Frog Tadpole,Chordata,Amphibia,Anura,,,,,ITIS:173423,22,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,Rio Lerma and Rio Tula drainages,23.93969,-102.53973,Manjarrez 2013,"Manjarrez, J., García, C. M., & Drummond, H. (2013). Variation in the Diet of the Mexican Black-bellied Gartersnake Thamnophis melanogaster. Importance of Prey Availability and Snake Body Size. Journal of Herpetology, 47(3), 413–420. http://www.jstor.org/stable/43287365",https://doi.org/10.1670/12-174
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,21,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,Rio Lerma and Rio Tula drainages,23.93969,-102.53973,Manjarrez 2013,"Manjarrez, J., García, C. M., & Drummond, H. (2013). Variation in the Diet of the Mexican Black-bellied Gartersnake Thamnophis melanogaster. Importance of Prey Availability and Snake Body Size. Journal of Herpetology, 47(3), 413–420. http://www.jstor.org/stable/43287365",https://doi.org/10.1670/12-174
Fish,Fish,Chordata,Actinopterygii,,,,,,ITIS:161061,257,Thamnophis melanogaaster,,Thamnophis melanogaaster,ITIS:586228,,,,Rio Lerma and Rio Tula drainages,23.93969,-102.53973,Manjarrez 2013,"Manjarrez, J., García, C. M., & Drummond, H. (2013). Variation in the Diet of the Mexican Black-bellied Gartersnake Thamnophis melanogaster. Importance of Prey Availability and Snake Body Size. Journal of Herpetology, 47(3), 413–420. http://www.jstor.org/stable/43287365",https://doi.org/10.1670/12-174
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,Pseudoeurycea,Pseudoeurycea scandens,Aquiloeurycea scandens,ITIS:1100217,1,Thamnophis mendax,,Thamnophis mendax,ITIS:586135,,,,"Gomez Farias, Gomez Farias, Tamaulipas",23.03333,-99.15167,Martin 1958,"Martin, Paul. (1958). A biogeography of reptiles and amphibians in the Gomez Farias region, Tamaulipas, Mexico. 1958. Miscellaneous Publications of the Museum of Zoology University of Michigan 101: 1-102",
Amphibian ,Salamander Adult,Chordata,Amphibia,Urodela,Plethodontidae,Isthmura,Isthmura bellii,Isthmura bellii,ITIS:1099997,1,Thamnophis mendax,,Thamnophis mendax,ITIS:586135,,,,"Gomez Farias, Gomez Farias, Tamaulipas",23.03333,-99.15167,Martin 1958,"Martin, Paul. (1958). A biogeography of reptiles and amphibians in the Gomez Farias region, Tamaulipas, Mexico. 1958. Miscellaneous Publications of the Museum of Zoology University of Michigan 101: 1-102",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Lithobates pipiens,ITIS:775108,1,Thamnophis nigronuchalis,,Thamnophis nigronuchalis,ITIS:1084869,,,,Mexico,,,Thompson 1957,"Thompson, F. 1957. A New Mexican Gartersnake (Genus Thamnophis) With Notes on Related Forms.  OCCASIONAL PAPERS OF THE MUSEUM OF ZOOLOGY, UNIVERSITY OF MICHIGAN. Number 584. ",
Amphibian,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Hyla,,,ITIS:173498,1,Thamnophis nigronuchalis,,Thamnophis nigronuchalis,ITIS:1084869,,,,Mexico,,,Thompson 1957,"Thompson, F. 1957. A New Mexican Gartersnake (Genus Thamnophis) With Notes on Related Forms.  OCCASIONAL PAPERS OF THE MUSEUM OF ZOOLOGY, UNIVERSITY OF MICHIGAN. Number 584. ",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,1,Thamnophis nigronuchalis,,Thamnophis nigronuchalis,ITIS:1084869,,,,Mexico,,,Thompson 1957,"Thompson, F. 1957. A New Mexican Gartersnake (Genus Thamnophis) With Notes on Related Forms.  OCCASIONAL PAPERS OF THE MUSEUM OF ZOOLOGY, UNIVERSITY OF MICHIGAN. Number 584. ",
Fish,Fish,Chordata,Actinopterygii,,,,,,ITIS:161061,1,Thamnophis nigronuchalis,,Thamnophis nigronuchalis,ITIS:1084869,,,,Mexico,,,de Queiroz et al Unpublished Data,"de Queiroz, A., et al. Unpublished Data",
Amphibian ,Salamander Larvae,Chordata,Amphibia,Urodela,Rhyacotritonidae,Rhyacotriton,Rhyacotriton variegatus,Rhyacotriton variegatus,ITIS:550252,1,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,Adult,73,,"U.S. Forest Service Rd 17N05 (T17N R3E SW1/4 Sec. 55), Del Norte County, California",41.81376,-123.88881,Norman 2002,"Norman, B. RHYACOTRITON VARIEGATUS. (Southern Torrent Salamander). PREDATION. 2002. Herpetological Review 33(4): 298-298",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,1,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,Juvenile,201,Male,"ca. 1.6 km W of Aurora, Marion County, Oregon",45.23215,-122.78944,Rombough and Rombough 2007,"Rombough, C., Rombough, J. THAMNOPHIS ORDINOIDES (Northwestern Garter Snake). EXOTIC PREY. 2007. Herpetological Review 38(4): 470-470",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,1,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,Juvenile,135,,"ca. 1.6 km W of Aurora, Marion County, Oregon",45.23215,-122.79008,Rombough and Rombough 2007,"Rombough, C., Rombough, J. THAMNOPHIS ORDINOIDES (Northwestern Garter Snake). EXOTIC PREY. 2007. Herpetological Review 38(4): 470-470",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,1,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,,260,Male,"ca. 1.6 km W of Aurora, Marion County, Oregon",45.23215,-122.78919,Rombough and Rombough 2007,"Rombough, C., Rombough, J. THAMNOPHIS ORDINOIDES (Northwestern Garter Snake). EXOTIC PREY. 2007. Herpetological Review 38(4): 470-470",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,5,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,Adult,520,Female,"Little White Salmon National Fish Hatchery, Skamania County, Washington",45.77306,-121.78167,Rombough and Rombough 2007,"Rombough, C., Rombough, J. THAMNOPHIS ORDINOIDES (Northwestern Garter Snake). EXOTIC PREY. 2007. Herpetological Review 38(4): 470-470",
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,ITIS:998439,67,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,,,,"Vancouver Island, Canada",,,Gregory 1978,"GREGORY, P,. T. 1978. Feeding habits and diet overlap of three species of garter snakes (Thamnophis)onVancouverIsland.Can.J.Zool.56: 1967-1974",https://doi.org/10.1139/z78-264
Invertebrate,Slug,Mollusca,Gastropoda,,,,,,ITIS:69459,63,Thamnophis ordinoides,,Thamnophis ordinoides,ITIS:174145,,,,"Vancouver Island, Canada",,,Gregory 1978,"GREGORY, P,. T. 1978. Feeding habits and diet overlap of three species of garter snakes (Thamnophis)onVancouverIsland.Can.J.Zool.56: 1967-1974",https://doi.org/10.1139/z78-264
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,Acris crepitans,ITIS:173520,10,Thamnophis proximus , rubrilineatus,Thamnophis proximus  rubrilineatus,ITIS:209136,,,,"Onion Creek, Travis County, Texas",30.20575,-97.58876,Wendelken 1978,"Wendelken, P. ""On Prey-Specific Hunting Behavior in the Western Ribbon Snake, Thamnophis Proximus (Reptilia, Serpentes, Colubridae)."" Journal of Herpetology, vol. 12, no. 4, 1978, pp. 577-78. JSTOR, https://doi.org/10.2307/1563367. Accessed 20 Oct. 2022.",https://doi.org/10.2307/1563367
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,,,ITIS:773227,1,Thamnophis proximus , proximus,Thamnophis proximus  proximus,ITIS:209135,Adult,,,"County Rd. H, west of Englewood, Englewood, Boone County, Missouri",38.82171,-92.18435,Resetarits 1983,"Resetarits, W. THAMNOPHIS PROXIMUS PROXIMUS (Western Ribbon Snake). FOOD. 1983. Herpetological Review 14(3): 75-75",
Amphibian ,Frog Adult,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus fowleri,Anaxyrus fowleri,ITIS:773520,1,Thamnophis proximus , proximus,Thamnophis proximus  proximus,ITIS:209135,Adult,638,Female,"Tara Wildlife Refuge, Vicksburg, Warren County, Mississippi",32.76108,-89.67038,Sinclair et al 2014,"Lee, J., Sinclair, A., Narnum, K., and Lemmons, S. THAMNOPHIS PROXIMUS PROXIMUS (Orange-striped Ribbonsnake). DIET. 2014. Herpetological Review 45(4): 714-714",
