Prey_Highest,Prey_Higher,Prey_Phylum,Prey_Class,Prey_Order,Prey_Family,Prey_Genus,Prey_Species,Prey_Species_Current,Prey_Count,Snake_Species,Snake_Subspecies,FullSpName,Age_Class,SVL(mm),Sex,Location,Latitude,Longitude,Citation,Full_Citation
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,,,,,27,Thamnophis_brachystoma,,Thamnophis_brachystoma,,,,Pennsylvania,40.87475,-77.80103,Asplund_1963,"Kennneth K. Asplund. (1963). Ecological Factors in the Distribution of Thamnophis brachystoma (Cope). Herpetologica, 19(2), 128–132. http://www.jstor.org/stable/3890548"
Amphibian,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,,,8,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Eurycea,Eurycea cirrigera,Eurycea cirrigera,11,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Plethodon,Plethodon cinereus ,Plethodon cinereus ,28,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Plethodon,Plethodon cinereus ,Plethodon cinereus ,5,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Plethodontidae,Plethodon,Plethodon glutinosus,Plethodon glutinosus,2,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Amphibian,Salamander_Adult,Chordata,Amphibia,Urodela,Salamandridae,Notophthalmus,Notophthalmus viridescens,Notophthalmus viridescens,6,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Invertebrate,Earthworm,Annelida,Clitellata,Opisthopora,Lumbricidae,Lumbricus,,,113,Thamnophis_sirtalis,_sirtalis,Thamnophis_sirtalis_sirtalis,,,,"Mountain Lake Biological Station. Giles County, VA",37.22320,80°31’20”W ,Avila_2015,"Avila, L.A. 2015. Feeding ecology and tetrodotoxin resistance in eastern Thamnophis sirtalis. Ph.D. dissertation, Department of Biology, University of Virginia, Charlottesville."
Mammal,Shrew,Chordata,Mammalia,Eulipotyphia,Soricidae,Sorex,Sorex emarginatus,Sorex emarginatus,1,Thamnophis_errans,,Thamnophis_errans,,,,"Canon el Mesteno, Sierra del Nido Mountains, Chihuahua, Mexico",,,"Baker and Webb, 1976","Baker, Rollin H. and Webb, Robert G. ""Thamnophis Elegans captures Sorex emarginatus."" Herp. Review 7(3):112, 1976"
Amphibian ,Frog_Adult,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus,Lithobates sylvaticus,1,Thamnophis_sirtalis,_pallidulus,Thamnophis_sirtalis_pallidulus,,,,United States,45.38691,-69.23184,Baldwin_et_al_2007,"Baldwin, R., Demaynadier, P., Calhoun, A. RANA SYLVATICA (Wood Frog). PREDATION. 2007. Herpetological Review 38(2): 194-195"
